Header;Inequality Measure Indicator Country;Value Housing Dwellings without basic facilities Percentage;Value Housing Housing expenditure Percentage;Value Housing Rooms per person Ratio;Value Income Household net adjusted disposable income US Dollar;Value Income Household net wealth US Dollar;Value Jobs Labour market insecurity Percentage;Value Jobs Employment rate Percentage;Value Jobs Long-term unemployment rate Percentage;Value Jobs Personal earnings US Dollar;Value Community Quality of support network Percentage;Value Education Educational attainment Percentage;Value Education Student skills Average score;Value Education Years in education Years;Value Environment Air pollution Micrograms per cubic metre;Value Environment Water quality Percentage;Value Civic engagement Stakeholder engagement for developing regulations Average score;Value Civic engagement Voter turnout Percentage;Value Health Life expectancy Years;Value Health Self-reported health Percentage;Value Life Satisfaction Life satisfaction Average score;Value Safety Feeling safe walking alone at night Percentage;Value Safety Homicide rate Ratio;Value Work-Life Balance Employees working very long hours Percentage;Value Work-Life Balance Time devoted to leisure and personal care Hours
Unit;Australia;..;20;..;32 759;427 064;5.4;73;1.31;49 126;95;81;502;21;5;93;2.7;91;825;85;7.3;635;11;13.04;14.35
Unit;Austria;0.9;21;1.6;33 541;308 325;3.5;72;1.84;50 349;92;85;492;17;16;92;1.3;80;817;70;7.1;806;5;6.66;14.55
Unit;Belgium;1.9;21;2.2;30 364;386 006;3.7;63;3.54;49 675;91;77;503;19.3;15;84;2;89;815;74;6.9;701;1;4.75;15.7
Unit;Canada;0.2;22;2.6;30 854;423 849;6;73;0.77;47 622;93;91;523;17.3;7;91;2.9;68;819;88;7.4;822;13;3.69;14.56
Unit;Chile;9.4;18;1.2;..;100 967;8.7;63;..;25 879;85;65;443;17.5;16;71;1.3;47;799;57;6.5;479;42;9.72;..
Unit;Czech Republic;0.7;24;1.4;21 453;..;3.1;74;1.04;25 372;91;94;491;17.9;20;87;1.6;61;791;60;6.7;723;5;5.65;..
Unit;Denmark;0.5;23;1.9;29 606;118 637;4.2;74;1.31;51 466;95;81;504;19.5;9;95;2;86;809;71;7.6;835;6;2.34;15.87
Unit;Estonia;7;17;1.6;19 697;159 373;3.8;74;1.92;24 336;92;89;524;17.7;8;84;2.7;64;778;53;5.7;69;31;2.42;14.9
Unit;Finland;0.5;23;1.9;29 943;200 827;3.9;70;2.13;42 964;95;88;523;19.8;6;95;2.2;67;815;70;7.6;851;13;3.81;15.17
Unit;France;0.5;21;1.8;31 304;280 653;7.6;65;4;43 755;90;78;496;16.5;13;81;2.1;75;824;66;6.5;705;5;7.67;16.36
Unit;Germany;0.2;20;1.8;34 294;259 667;2.7;75;1.57;47 585;90;87;508;18.1;14;91;1.8;76;811;65;7;725;5;4.26;15.62
Unit;Greece;0.5;23;1.2;17 700;150 134;29.8;53;15.65;26 064;80;73;458;19;18;69;1.8;64;815;74;5.4;60;8;6.42;..
Unit;Hungary;4.7;19;1.2;..;104 458;4.7;68;1.72;22 576;86;84;474;16.4;19;77;1.2;70;762;60;5.6;563;1;3.03;..
Unit;Iceland;0;24;1.6;..;..;0.7;86;0.26;61 787;98;77;481;19;3;99;2.1;79;823;76;7.5;86;5;15.06;..
Unit;Ireland;1;20;2.1;25 310;217 130;7.8;67;3.23;47 653;95;82;509;18.1;7;85;1.3;65;818;83;7;759;7;5.25;..
Unit;Israel;..;..;1.2;..;..;4.2;69;0.49;35 067;88;87;472;15.6;21;67;2.5;72;825;84;7.2;698;18;15.45;..
Unit;Italy;0.7;23;1.4;26 588;279 889;12.3;58;6.59;36 658;92;61;485;16.6;18;71;2.5;73;833;71;6;584;6;4.11;16.47
Unit;Japan;6.4;22;1.9;29 798;305 878;1.4;75;1.03;40 863;89;..;529;16.4;14;87;1.4;53;841;36;5.9;725;2;..;..
Unit;Korea;2.5;15;1.5;21 882;285 980;2.6;67;0.05;35 191;78;88;519;17.3;28;76;2.9;77;824;33;5.9;666;1;..;14.7
Unit;Latvia;13.9;23;1.2;16 275;70 160;9.6;70;3.35;23 683;86;88;487;18;11;79;2.2;59;747;47;5.9;624;48;1.27;13.83
Unit;Lithuania;13.6;19;1.5;21 660;..;..;70;2.69;24 287;88;93;475;18.4;14;81;2.4;51;748;43;5.9;559;34;0.54;..
Unit;Luxembourg;0.5;21;1.9;39 264;769 053;1.7;66;2.35;63 062;93;77;483;15.1;12;84;1.7;91;828;69;6.9;758;6;3.82;..
Unit;Mexico;25.5;20;1;..;..;5.5;61;0.07;15 314;81;38;416;15.2;16;68;3.2;63;754;66;6.5;418;181;28.7;..
Unit;Netherlands;0.1;19;1.9;29 333;157 824;4.8;76;1.97;52 877;91;78;508;18.7;14;93;2.6;82;816;76;7.4;82;6;0.42;..
Unit;New Zealand;..;26;2.4;..;388 514;4.7;77;0.74;40 043;96;79;506;17.7;5;89;2.5;80;817;88;7.3;657;13;15.11;14.87
Unit;Norway;0;17;2.1;35 725;228 936;..;74;0.66;51 212;94;82;504;18.3;5;98;2.2;78;825;77;7.6;901;4;2.93;15.56
Unit;Poland;3;22;1.1;19 814;210 991;5.7;66;1.52;27 046;86;92;504;17.6;22;82;2.6;55;78;58;6.1;673;7;5.95;14.42
Unit;Portugal;1;21;1.7;21 203;232 666;10;68;4.43;25 367;88;48;497;16.9;10;86;1.5;56;812;48;5.4;734;1;8.27;..
Unit;Slovak Republic;1.2;23;1.1;20 474;119 696;9.9;66;4.78;24 328;91;91;463;15.8;21;85;3;60;773;66;6.2;635;8;4.14;..
Unit;Slovenia;0.4;18;1.5;20 820;203 044;5.8;69;3.17;34 933;92;88;509;18.3;16;90;2.5;53;813;64;5.9;861;6;4.39;14.75
Unit;Spain;0.1;21;1.9;23 999;373 548;23.1;62;7.66;38 507;93;59;491;17.9;11;72;1.8;70;834;72;6.3;821;6;4.01;15.93
Unit;Sweden;0;19;1.7;31 287;..;3.2;77;1.12;42 393;91;83;496;19.3;6;96;2;86;824;75;7.3;756;9;1.07;15.18
Unit;Switzerland;0.1;22;1.9;37 466;..;..;80;1.82;62 283;93;88;506;17.5;15;95;2.3;49;837;78;7.5;853;6;0.37;..
Unit;Turkey;8;20;1;..;..;12.5;52;2.39;..;86;39;425;18.3;20;65;1.5;86;78;69;5.5;598;14;32.64;14.79
Unit;United Kingdom;0.3;26;1.9;28 715;548 392;4.5;75;1.13;43 732;94;81;500;17.5;11;84;3.1;69;812;69;6.8;777;2;12.15;14.92
Unit;United States;0.1;19;2.4;45 284;632 100;7.7;70;0.66;60 558;91;91;488;17.2;10;83;3.1;65;786;88;6.9;739;55;11.09;14.44
Unit;OECD - Total;4.4;20;1.8;33 604;408 376;7;68;1.78;43 241;89;78;486;17.2;14;81;2.4;68;802;69;6.5;684;37;11.01;14.98
Unit;Brazil;6.7;..;..;..;..;..;61;..;..;90;49;395;16.2;10;73;2.2;79;748;..;6.4;356;267;7.13;..
Unit;Colombia;23.9;17;1.2;..;..;..;67;0.79;..;89;54;410;14.1;10;75;1.4;53;762;..;6.3;444;245;26.56;..
Unit;Russia;14.8;18;0.9;..;..;..;70;1.59;..;89;94;492;16.2;15;55;..;68;718;43;5.8;528;96;0.14;..
Unit;South Africa;37;18;..;..;..;..;43;16.46;..;88;73;..;..;22;67;..;73;575;..;4.7;361;137;18.12;14.92
